Account Name,Primary Contact,Address 1: City,Address 1: State/Province,Territory,Owner,Annual Revenue
Best For You Organics Company,Logan Patterson,Pittsburgh,Pennsylvania,Northeast,Sebastian Wright,24500000
First Up Consultants,Armin Woodward,New Jersey,New Jersey,Northeast,Sebastian Wright,124000000
Lamna Healthcare Company,Tracy Harding,Columbus,Ohio,Northeast,Sebastian Wright,340000000
Munson's Pickles and Preserves Farm,Sue Vance,Toledo,Ohio,Northeast,Sebastian Wright,120000000
Northwind Traders,Heriberto Nathan,Columbus,Ohio,Northeast,Sebastian Wright,100000000
Adventure Works Cycles,Parsifal Troker,Santa Cruz,California,Southwest,Alexander Reed,245000000
Alpine Ski House,Cacilia Viera,Dallas,Texas,Southwest,Alexander Reed,185500000
Consolidated Messenger,Angela Nicholson,Santa Cruz,California,Southwest,Alexander Reed,34800000
Contoso Ltd.,Daisy Pope,Los Angeles,California,Southwest,Alexander Reed,456000000
Fourth Coffee,Carole Poland,San Francisco,California,Southwest,Alexander Reed,157000000
Humongous Insurance,Naoki Sato,Santa Cruz,California,Southwest,Alexander Reed,200000000
Liberty's Delightful Sinful Bakery & Cafe,Daisy Pope,Houston,Texas,Southwest,Alexander Reed,28300000
Margie's Travel,Jan Stevens,Newport Beach,California,Southwest,Alexander Reed,42600000
School of Fine Art,Rory Flowers,San Jose,California,Southwest,Alexander Reed,12500000
Trey Research,Alex Baker,San Francisco,California,Southwest,Alexander Reed,70000000
Wingtip Toys,Nancy Cook,Dallas,Texas,Southwest,Alexander Reed,480000000
Adatum Corporation,Kevin Martin,Redmond,Washington,Northwest,Sophia Martinez,135000000
Contoso Pharmaceuticals,Robert Lyon,Lynnwood,Washington,Northwest,Sophia Martinez,356000000
Contoso Suites,Lucy Lambert,Seattle,Washington,Northwest,Sophia Martinez,278000000
Lucerne Publishing,Freida Farley,Bellevue,Washington,Northwest,Sophia Martinez,257500000
Nod Publishers,Carly Kurusarttra,Denver,Colorado,Northwest,Sophia Martinez,250500000
Relecloud,Orestas Schafer,Redmond,Washington,Northwest,Sophia Martinez,120000000
Southridge Video,Conrad Fenwick,Clinton,Utah,Northwest,Sophia Martinez,65700000
Tailspin Toys,Carlene Avery,Denver,Colorado,Northwest,Sophia Martinez,230000000
The Phone Company,Neel Marke,Fort Collins,Colorado,Northwest,Sophia Martinez,240000000
VanArsdel Ltd.,Roland Hofmann,Port Orchard,Washington,Northwest,Sophia Martinez,190000000
Fabrikam Inc.,Eva Corets,Lynnwood,Tennessee,Southeast,Dominic Evans,30000000
Fabrikam Residences,Rachel Michael,Orlando,Florida,Southeast,Dominic Evans,342000000
Graphic Design Institute,Aurora Badillo,Richmond,Virginia,Southeast,Dominic Evans,120000000
Proseware Inc.,Petr Kar,Orlando,Florida,Southeast,Dominic Evans,250000000
Bellows College,Lina Nevland,Chicago,Illinois,Southwest,Alexander Reed,145000000
Wide World Importers,Rodrigo Carrera,Madison,Illinois,Southwest,Alexander Reed,300000000
Woodgrove Bank,Nealy Middas,Kansas City,Missouri,Southwest,Alexander Reed,526400000
