Created On,Topic,Owner,Potential Customer,Status,Status Reason,Est. revenue,Est. close date,Actual Revenue,Actual Close date,Probability,Rating,Sales Stage,Forecast category,Customer Need,Proposed Solution,Source Campaign,Purchase Process,Purchase Timeframe,Currency,Contact,Price List,Revenue
02/09/23,VanArsdel Ltd. | Drink Spoon,Sebastian Wright,Adatum Corporation,Won,Won,200,02/19/23,200,02/19/23,80,Hot,Close,Won,DRINKWARE,Drink Spoon,,Individual,Immediate,US Dollar,Roland Hofmann,Contoso Coffee Price List,User Provided
08/13/24,School of Fine Art | Barista Express,Sebastian Wright,Adatum Corporation,Open,In Progress,179450,04/09/25,0,,95,Hot,Develop,Committed,COMMERCIAL ESPRESSO,Barista Express,Loyalty Customer Promotion,Committee,This Quarter,US Dollar,Rory Flowers,Contoso Coffee Price List,User Provided
12/02/21,Lamna Healthcare Company | Barista Express,Sebastian Wright,Adatum Corporation,Won,Won,116150,04/07/22,116150,04/07/22,85,Hot,Close,Won,COMMERCIAL ESPRESSO,Barista Express,Coffee Machine Excellence,Individual,Immediate,US Dollar,Tracy Harding,Contoso Coffee Price List,User Provided
05/15/22,A. Datum Corporation | Accu Scale,Sebastian Wright,Adatum Corporation,Lost,Canceled,1000,05/26/22,0,05/26/22,40,Cold,Close,,DRINKWARE,Accu Scale,Barista Monthly Digest,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
05/24/22,Alpine Ski House | Cleaning Kit,Sebastian Wright,Adatum Corporation,Won,Won,600,06/04/22,600,06/04/22,85,Hot,Close,Won,DRINKWARE,Cleaning Kit,,Individual,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
08/21/24,Alpine Ski House | Caf̩ BG-1 Pro,Sebastian Wright,Adatum Corporation,Won,Won,159850,02/07/25,159850,02/07/25,75,Warm,Close,Won,COMMERCIAL COFFEE GRINDERS,Caf̩ BG-1 Pro,,Individual,Immediate,US Dollar,Cacilia Viera,Contoso Coffee Price List,User Provided
09/28/23,Graphic Design Institute | Caf̩ A-200 Automatic,Sebastian Wright,Adatum Corporation,Won,Won,88600,01/05/24,88600,01/05/24,85,Hot,Close,Won,COMMERCIAL ESPRESSO,Caf̩ A-200 Automatic,Coffee Machine Excellence,Individual,Immediate,US Dollar,Aurora Badillo,Contoso Coffee Price List,User Provided
08/14/21,Contoso Ltd. | Deluxe Decanter,Sebastian Wright,Adatum Corporation,Won,Won,1500,10/15/21,1500,10/15/21,65,Warm,Close,Won,DRINKWARE,Deluxe Decanter,,Individual,This Quarter,US Dollar,Daisy Pope,Contoso Coffee Price List,User Provided
11/22/21,A. Datum Corporation | Carafe Pro,Sebastian Wright,Adatum Corporation,Lost,Canceled,1200,12/03/21,0,12/03/21,40,Cold,Close,,DRINKWARE,Carafe Pro,Customer Follow-up,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
02/06/25,A. Datum Corporation | Crema Caf̩ XL,Sebastian Wright,Adatum Corporation,Lost,Canceled,21100,03/09/25,0,03/09/25,45,Cold,Develop,,CONSUMER ESPRESSO,Crema Caf̩ XL,Loyalty Customer Promotion,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
